회원번호,회원상태,성별,나이,등록카드,결혼,구독여부,주소지,세부주소지,총구매액,가루,건강일반,건어물,견과,과실주,과일,과일채소,과자,기름/식초,김장채소,김치,꿀,냉동수산,닭/오리,돼지,두부/유부,떡,말린나물/건재,멥쌀,밀가공,밑반찬,버섯,보리/혼합곡,빵,뿌리채소,생물수산,생활용품,섬유,세제/세안,소,소금,소스/기타양념,손질한채소,수산가공,식기/편백,식사대용,쌈채소류,알,양념채소,어묵/묵,열매채소,유색미/발아미,유제품,육가공,음료,잎/줄기채소,장,잼/병조림/기타,전통주,절임/장아찌,중량(정육),즉석조리,차,찹쌀,콩/화본/깨,콩나물,해조,홍삼/녹용,화장품
20588608,정상회원,여,43,롯데카드,0,FALSE,인천광역시,남동구,6892801,1,0,6,0,0,25,17,13,7,0,0,0,1,8,3,13,58,3,3,26,19,3,0,47,38,0,3,1,1,44,7,5,1,3,1,14,3,21,7,1,22,0,6,21,7,8,2,3,9,4,0,4,0,0,0,3,1,0,2
20636864,정상회원,여,58,우리은행,0,FALSE,경기도,수원시,1615531,4,0,6,0,0,0,0,1,1,0,0,0,1,9,7,19,4,0,5,4,0,0,0,1,17,1,11,0,8,3,0,1,0,1,0,0,0,0,4,2,0,0,0,0,1,4,7,0,0,0,0,0,0,0,0,5,4,0,11
21134272,정상회원,여,41,롯데카드,0,FALSE,울산광역시,남구,164354,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
21457216,정상회원,여,48,하나은행,0,FALSE,경상북도,경주시,17038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21982464,정상회원,여,42,현대카드,기혼,0,경상남도,사천시,452469,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,1,1,1,9,0,2,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,5,2,1,2,11,0,0
22112384,정상회원,여,52,연결앱결제,0,FALSE,경기도,의정부시,24026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22259008,정상회원,여,46,신한은행,기혼,0,강원도,정선군,318557,1,0,1,1,0,0,0,3,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,3,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,0,0,0
22270144,정상회원,여,44,롯데카드,0,FALSE,전라남도,영암군,6236273,3,1,4,0,0,13,16,22,3,0,5,6,1,4,9,18,1,4,3,19,7,0,0,36,5,0,2,0,3,6,2,5,0,5,3,18,7,9,6,11,17,0,60,28,12,27,0,3,0,8,17,4,0,3,3,8,2,0,4
22990272,정상회원,여,62,롯데카드,0,FALSE,인천광역시,남동구,524454,2,0,1,0,0,0,0,1,3,0,0,0,0,0,1,6,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,8,0,2,1,0,0,0
23437568,정상회원,여,48,농협중앙회,기혼,0,경기도,안성시,649870,0,2,3,0,0,0,0,0,2,0,2,0,2,0,1,4,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,1,5,4,1,3,0,0,2,0,7,0,1,0,0,1,0,0,0,2,1,2,0,0
23485824,정상회원,여,41,연결앱결제,기혼,FALSE,경상남도,거창군,125395,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23573056,정상회원,여,41,신한카드,기혼,0,서울특별시,양천구,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24098304,정상회원,여,58,신한은행,기혼,TRUE,경기도,안양시,11104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
